Наименование организации|Адрес организации|Номера телефонов организации|Часы работы организации|Отзывы
БизнесБас Сервис|Путевой пр., 15|+7 (495) 661-30-40, +7 (495) 661-30-40|ежедневно, 09:00-21:00|—
Киа Ремонт Лидер|Можайское ш., 159 к 9, Москва, Россия, 121374|+7 (495) 649-82-18|вс 10:00-18:00; пн-сб 10:00-20:00|—
Автопилот|ул. Речников, 19, Москва|+7 (495) 120-20-45|ежедневно, 08:00–21:00|Приходил подлатать, всё сделали грамотно, даже скидку не захотел просить, очень качественно, спасибо, ребята.
Мос-олимп|Ташкентская ул., 28, стр. 1, Москва|+7 (495) 514-38-22|ежедневно, 09:00–20:00|Прайс на сайте соответствует реальности, никаких лишних услуг не навязывают. Попался очень рукастый мастер, исправил проблему с тормозами, которую три …
Арк Сервис|Азовская ул., 28Б, стр. 4, Москва|+7 (495) 720-35-13, +7 (903) 720-35-13|ежедневно, 10:00–21:00|В сервисе заменял цепь на мерседесе, остался доволен, ребята сделали быстро. Спасибо.
КарС|Алтуфьевское ш., д31 стр1, Москва|+7 (993) 343-55-33, +7 (993) 342-55-33|ежедневно, 09:00-21:00|—
ZFcenter|Алтуфьевское ш., 31, стр. 1, Москва|+7 (926) 209-26-79, +7 (495) 664-41-00|пн-пт 09:30–18:30; сб 10:00–16:00|Менял масло у ребят.
Дизель-форс|Волгоградский просп., 128, корп. 5|+7 (499) 322-91-11, +7 (7172) 78-81-60|пн-пт 09:00–18:00|—
Автопилот|Смирновская ул., 2, стр. 1|+7 (495) 120-20-45|ежедневно, 08:00–21:00|Да, хорошие ребята, делают на профессиональном уровне. На пассате увеличивался уровень масла-думал хана движку, оказалось с форсунками проблема. Сняли, поремонтировали …
A1 моторс drive|1-я Дубровская ул., 13А, стр. 4, Москва|+7 (925) 001-08-57, +7 (495) 120-15-38, +7 (499) 110-42-89, +7 (499) 110-42-87|ежедневно, 09:00–21:00|Хороший сервис, всё официально, недорого, с гарантией. Базовые запчасти и расходники в наличии, отдельно покупать не надо. В этом сервисе …
РусКомАвто|ул. Подольских Курсантов, 32, Москва|+7 (901) 417-28-18, +7 (968) 320-15-97, +7 (903) 242-13-42, +7 (966) 030-25-30|пн-пт 09:00–18:00|очень дружелюбные и хорошие мастера работают в этом сервисе.с прошлого года ремонтируюсь у них
Европа-Авто|6-я Радиальная ул., 30, стр. 22, Москва|8 (800) 550-70-64|пн-пт 10:00–20:00; сб,вс 10:00–18:00|Окраска кабины. Сделали качественно.
Автопилот|1-й пр. Перова Поля, 3, стр. 14|+7 (495) 120-20-45|ежедневно, 08:00–21:00|У меня старенький Volkswagen Transporter T5. Бывает нужные детали найти сложновато и просят за них не мало. А мне эту …
Crystal City|Пресненская наб., 8, стр. 1|+7 (495) 644-29-29, +7 (916) 648-80-88|ежедневно, 08:00–22:00|—
Форд Транзит Сервис|Рязанский просп., 4, стр. 1, Москва|+7 (905) 767-77-11, +7 (905) 769-77-11|пн-пт 09:00–19:00|Был первый раз полгода назад, масло менял, но попал на стажера, который мне все маслом залил, был не очень доволен. …
ГрандАвтоСервис|2-й Кожевнический пер., 12, стр. 10, Москва|+7 (919) 993-25-82|ежедневно, круглосуточно|Хорошие ребята, всё быстро делают и по ценам адекватным.
Н-Джин|Каширское шоссе, 23-й километр, 1, стр. 1, посёлок Совхоза имени Ленина|+7 (495) 118-91-49, +7 (925) 397-00-27|ежедневно, 09:00-21:00|Время сдачи авто было оговорено заранее и соблюдено. Ремонт провели как полагается. Запчасти приобретал также через сервис, по цене вышло …
ColdCars|2-й Иртышский пр-д, 6 стр.9, Москва|+7 (495) 789-18-80, +7 (903) 589-18-80|пн-пт 09:00-19:00; сб, вс 10:00-16:00|—
Mirax Detailing Center|Маломосковская ул., 22, стр. 11|+7 (495) 877-37-22|ежедневно, 10:00–20:00|—
Механик|Сигнальный пр-д, 20 строение 3, Москва|+7 (926) 498-82-97, +7 (926) 498-83-01|ежедневно, 10:00-21:00|—
Богатырь-Сервис|бул. Генерала Карбышева, 8, стр. 4, Москва|+7 (915) 243-25-57|ежедневно, круглосуточно|—
Кутузовв|Краснобогатырская ул., 89, стр. 1|+7 (993) 894-80-55, +7 (499) 302-00-57|ежедневно, 09:00–21:00|—
Автодом Сервис Варшавка|Варшавское ш., 91А, Москва|+7 (495) 281-42-14|ежедневно, 09:00–21:00|—
ИП Ковалев Юрий Вячеславович|Малая Филёвская ул., 18к3, Москва|+7 (925) 168-46-13|ежедневно, круглосуточно|—
Рр-мастер|ул. Свободы, 35, стр. 17, Москва|+7 (916) 595-40-40, +7 (916) 596-40-40|ежедневно, 10:00–21:00|Хороший диллер под стать мотоциклам. Приезжал в сервис по соседству, пока ждал, побродил по мотосалону Ducati. Впечатляет, конечно. Неплохой транспорт …
АVS-Сервис|Люблинская ул., 82, стр. 1, Москва|+7 (495) 799-59-59, +7 (901) 259-45-32|ежедневно, 09:00–21:00|—
Бенсер|Новомосковская ул., 1Ж|+7 (499) 490-57-52, +7 (925) 458-25-86|пн-пт 12:00–20:00; сб,вс 12:00–18:00|—
АКПП-Центр|1-я ул. Измайловского Зверинца, 8, Москва|+7 (499) 113-38-36|ежедневно, 09:00–21:00|—
АвтоСТАР|ул. Прянишникова, 19А, стр. 2, Москва|+7 (495) 118-22-03|ежедневно, 10:00–20:00|—
ПТЦ КомТранс Юг|Дорожная ул., 3, корп. 20, Москва|+7 (495) 775-34-60, +7 (495) 125-02-41|ежедневно, 09:00–21:00|Все быстро профессионально и качественно. Впервые я обратился в Измайлово центр из-за течи масла из АКПП. Остался полностью доволен. Специалисты …
Альфа-флит|3-й Нижнелихоборский пр., 1А, Москва|+7 (903) 722-70-08, +7 (495) 722-70-08, +7 (903) 292-01-38|ежедневно, 09:00–19:00|—
Доктор Джип|ш. Энтузиастов, 2, стр. 38А, Москва|+7 (925) 772-33-41, +7 (495) 772-33-41|вт-вс 10:00–20:00|—
РМ-Моторс|Ферганская ул., 6, корп. 2|+7 (903) 539-82-17, +7 (999) 859-34-79, +7 (499) 608-88-48|пн-сб 11:00–21:00|—
Propellini|Авиационная ул., 79 к1, Москва|+7 (991) 936-14-89|ежедневно, 08:00-23:00|Ремонт был выполнен на высоком уровне, и уже два месяца нет никаких нареканий. Сервис предоставляет качественные услуги по доступным ценам, …
АвтоПлюс|Верейская ул., 29, стр. 2, Москва|+7 (901) 519-68-90, +7 (926) 456-60-10, +7 (495) 979-68-90|ежедневно, 10:00–19:00|—
Автосервис33|Варшавское ш., 33, Москва|+7 (495) 295-17-05, +7 (926) 512-68-22|пн-сб 10:00–20:50|—
Ив-Авто|Варшавское ш., 94, Москва|+7 (926) 400-73-00|пн-пт 10:00–22:00; сб,вс 10:00–21:00|—
АКПП Таганка|Электролитный пр., 3А, стр. 5, Москва|+7 (926) 157-62-41, +7 (901) 529-44-73, +7 (495) 760-11-91, +7 (985) 226-59-86|пн-пт 10:00–20:00|Обслуживаю свою ауди исключительно в Автосервисе 33! Все началось еще 3 года назад, с ремонта двигателя, так и познакомился с …
Интер-авто|Молодогвардейская ул., 61, стр. 4, Москва|+7 (495) 775-12-77|ежедневно, 09:00–21:00|Иван Александрович, Вы как всегда на высоте ✊🏻✊🏻 Учитывая идиотичность и каламбурность текущего автомобильного рынка, хоть мультик рисуй, как вы …
Эйджиси Моторс|Новоостаповская ул., 6А, стр. 4, Москва|+7 (495) 414-46-28|пн-пт 09:00–19:00|Обращался сюда в АКПП Таганку с Land Rover Discovery, коробка начала пинаться и терять давление. Сделали диагностику, нашли износ фрикционов …
Спецавтобаза № 1|3-й Угрешский пр., 6, стр. 1, Москва|+7 (499) 702-00-94, +7 (495) 644-49-30, +7 (495) 644-49-35, +7 (495) 156-15-96|пн-пт 09:00–18:00|—
Лр-вест|Рябиновая ул., 28А, стр. 2, Москва|+7 (495) 374-50-67|ежедневно, 09:00–21:00|—
Fps Service|2-й Хорошёвский пр., 7, стр. 20|+7 (965) 435-95-95|пн-сб 10:00–22:00|—
Мосавторемонт|Графский пер., 14Б, Москва|+7 (495) 768-71-11, +7 (917) 516-67-77|ежедневно, 09:00–20:00|—
77сто|Рябиновая ул., 28А, стр. 12, Москва|+7 (495) 146-93-78, +7 (901) 519-77-07|ежедневно, 09:00–19:00|Обращался уже несколько раз, ребята всегда подскажут, что выгоднее и лучше сделать. Расположение автосервиса очень удобное, мастера работу выполняют хорошо. …
Диджитроник|Ильменский пр., 9, стр. 1, Москва|+7 (495) 255-27-23, 8 (800) 775-25-23|пн-чт 08:30–17:00; пт 08:30–15:00|—
Чекавто|ул. Поляны, 6, Москва|+7 (926) 327-00-07, +7 (903) 968-47-31, +7 (495) 711-02-35|ежедневно, 09:00–20:00|—
Carlife сервис|ул. Мнёвники, 1, стр. 5|+7 (968) 198-83-22, 8 (800) 201-15-45|ежедневно, 09:00–21:00|—
АмдЗап|ул. Красного Маяка, 16, Москва|+7 (495) 127-61-18|ежедневно, 09:00–20:00|—
Исузу-клуб|ул. Адмирала Лазарева, 34, Москва|+7 (968) 913-04-81, +7 (905) 542-96-96|пн-сб 09:00–19:00|—
